Taxon	PC1	PC2	PC3	Direction	Samples	Filter
Leptotrichia sp. oral taxon 498	0.132192561031447	0.00111941980790955	-0.180560000911887	PC1+	Industrial_CMC	MR1
Stomatobaculum longum	0.122054806462853	0.103890536577454	-0.0223129368730326	PC1+	Industrial_CMC	MR1
Prevotella oulorum	0.121493712719349	0.135003785644707	-0.0963529971551489	PC1+	Industrial_CMC	MR1
Prevotella denticola	0.120856439233044	0.0564729083254946	-0.0300022862872821	PC1+	Industrial_CMC	MR1
Leptotrichia sp. oral taxon 847	0.119149470797818	0.0098012556702235	-0.161781023671836	PC1+	Industrial_CMC	MR1
Selenomonas flueggei	0.118683092237273	0.0703974301862741	-0.0495200753128022	PC1+	Industrial_CMC	MR1
Prevotella pallens	0.109002539151233	0.0823162569422341	-0.0486707863067043	PC1+	Industrial_CMC	MR1
Prevotella jejuni	0.108501271185055	0.0883924213706136	-0.0142842537891852	PC1+	Industrial_CMC	MR1
Leptotrichia shahii	0.10719865746311	-0.0312467057343613	-0.154292668633346	PC1+	Industrial_CMC	MR1
Prevotella salivae	0.106528542091143	0.112768986897363	-0.0557169200154251	PC1+	Industrial_CMC	MR1
Neisseria mucosa	-0.107520910073158	0.0108735248328506	-0.135427205352268	PC1-	Industrial_CMC	MR1
Abiotrophia sp. HMSC24B09	-0.109181262568152	-0.0957652764735044	-0.00254839350546961	PC1-	Industrial_CMC	MR1
Neisseria gonorrhoeae	-0.109603420726794	-0.0229125262695798	-0.0568132782823501	PC1-	Industrial_CMC	MR1
Neisseria sp. HMSC077D05	-0.109830009368682	-0.0313828899557792	-0.09777470705175	PC1-	Industrial_CMC	MR1
Neisseria sp. HMSC064E01	-0.110596415129859	-0.0548359234491171	-0.0766931422534678	PC1-	Industrial_CMC	MR1
Neisseria meningitidis	-0.110870024337599	-0.0486976911471706	-0.0714396686547424	PC1-	Industrial_CMC	MR1
Neisseria sicca	-0.114293585467503	-0.0495011325377459	-0.0987960005002053	PC1-	Industrial_CMC	MR1
Neisseria sp. HMSC15C08	-0.114970979547517	-0.0192943327409148	-0.0676642927838132	PC1-	Industrial_CMC	MR1
Neisseria sp. HMSC31F04	-0.115088766422878	-0.0812042765233696	0.00841868886905945	PC1-	Industrial_CMC	MR1
Neisseria sp. HMSC072F04	-0.115650157957671	-0.00879470886181817	-0.0657895111113997	PC1-	Industrial_CMC	MR1
Haemophilus sp. HMSC61B11	-0.0658350613503759	0.174880628564272	0.0525508587849625	PC2+	Industrial_CMC	MR1
Haemophilus sp. CCUG 60358	-0.0628756478903873	0.172401494497867	0.0252893008192265	PC2+	Industrial_CMC	MR1
Haemophilus sp. HMSC061E01	-0.0554382265623609	0.170486165367608	0.0406542317285809	PC2+	Industrial_CMC	MR1
Streptococcus sp. HMSC062H02	-0.0595170526258394	0.166737548352311	0.0984397638097835	PC2+	Industrial_CMC	MR1
Haemophilus sp. HMSC71H05	-0.0603446645587046	0.161048435634208	0.0337026854387525	PC2+	Industrial_CMC	MR1
Haemophilus sp. HMSC068C11	-0.054479036772152	0.157040785172709	0.0351533094208434	PC2+	Industrial_CMC	MR1
Streptococcus sp. HMSC072D05	-0.094050101154977	0.148811059188338	0.125940294829954	PC2+	Industrial_CMC	MR1
Streptococcus sp. HMSC066F01	-0.0670699504548405	0.142813313219196	0.106140433291612	PC2+	Industrial_CMC	MR1
Prevotella veroralis	0.10337908825535	0.136413585711618	-0.0359814065173967	PC2+	Industrial_CMC	MR1
Prevotella oulorum	0.121493712719349	0.135003785644707	-0.0963529971551489	PC2+	Industrial_CMC	MR1
Selenomonas sp. oral taxon 920	0.056966147993667	-0.117234115238391	0.0553639447823403	PC2-	Industrial_CMC	MR1
Prevotella intermedia	0.0427316842054307	-0.118461620942771	0.00381093506871627	PC2-	Industrial_CMC	MR1
Selenomonas infelix	0.0425455224333651	-0.119506827585037	0.0560371022512886	PC2-	Industrial_CMC	MR1
Leptotrichia buccalis	0.0702596830491338	-0.130251871976161	-0.0967857872786538	PC2-	Industrial_CMC	MR1
Selenomonas sp. oral taxon 126	0.0489631107084469	-0.131602294934408	0.0922119169746775	PC2-	Industrial_CMC	MR1
Selenomonas massiliensis	0.0686620061442883	-0.13405769568508	0.0625154687103488	PC2-	Industrial_CMC	MR1
Prevotella saccharolytica	0.0436892533295465	-0.134271832432133	0.00151323955068503	PC2-	Industrial_CMC	MR1
Cardiobacterium valvarum	-0.0654467775925801	-0.135064346653506	0.0230676259039738	PC2-	Industrial_CMC	MR1
Streptococcus anginosus	0.0423518973257306	-0.139683226626503	0.112392523459299	PC2-	Industrial_CMC	MR1
Selenomonas sp. oral taxon 138	0.05042236833604	-0.149564165699822	0.08808495620569	PC2-	Industrial_CMC	MR1
